,Address,Price,Beds,Baths,Area_Sqft,City,Zipcode,Parking_Size,In_Unit_Aminity_Count,Community_Aminity_Count
148,"eaves West Valley700 Saratoga Ave,San Jose, CA 95129",1891,2,2,703.5,San Jose,95129,0,3,9
149,"1383 Pinehurst Sq,San Jose, CA 95117",3400,2,1,1000.0,San Jose,95117,0,10,2
150,"265 Laurel Grove Ln,San Jose, CA 95126",3890,4,2.5,1650.0,San Jose,95126,0,6,0
151,"915 Del Mar Ave,San Jose, CA 95128",2250,2,1,875.0,San Jose,95128,0,1,1
152,"1622 Lorient Ter,San Jose, CA 95133",3850,3,2.5,1776.0,San Jose,95133,0,11,1
153,"435 Milan Dr,San Jose, CA 95134",2750,1,1,948.0,San Jose,95134,0,6,2
154,"5673 Drysdale Dr,San Jose, CA 95124",4500,3,2,1258.0,San Jose,95124,0,6,0
155,"2653 Middleborough Cir,San Jose, CA 95132",4470,3,2,1838.0,San Jose,95132,0,2,0
156,"Nortree St,San Jose, CA 95148",4400,4,2,1723.0,San Jose,95148,0,10,0
157,"3256 Cropley Ave,San Jose, CA 95132",3000,2,1,968.0,San Jose,95132,0,6,1
158,"1060 S 3rd St,San Jose, CA 95112",3000,2,2,1000.0,San Jose,95112,0,10,5
159,"445 S 3rd St,San Jose, CA 95112",1795,0,1,650.0,San Jose,95112,0,2,0
160,"3670 Jasmine Cir,San Jose, CA 95135",3750,3,2.5,1545.0,San Jose,95135,0,10,3
161,"488 Baltimore Pl,San Jose, CA 95123",3500,3,3.5,1810.0,San Jose,95123,0,5,0
162,"633 Yolo Ct,San Jose, CA 95136",2900,2,2,912.0,San Jose,95136,0,10,0
163,"1113 Doralee Way,San Jose, CA 95125",3395,2,1.5,1085.0,San Jose,95125,0,2,1
164,"821 Date Palm Ct,San Jose, CA 95133",3950,4,2.5,1797.0,San Jose,95133,0,10,0
165,"17780 McKinnon Dr,San Jose, CA 95130",3850,3,1,1100.0,San Jose,95130,0,9,0
166,"2290 Cochrane Rd,Morgan Hill, CA 95037",2900,2,2,1100.0,San Jose,95037,0,8,0
167,"971 Yarmouth Way,San Jose, CA 95120",5995,5,3,3004.0,San Jose,95120,0,4,1
168,"El Castillo Metro Apartments1040 N 4th St,San Jose, CA 95112",1900,0,1,530.0,San Jose,95112,1,15,4
169,"4300 The Woods Dr,San Jose, CA 95136",1995,1,1.5,731.5,San Jose,95136,0,19,23
170,"The Monterey3510 Moorpark Ave,San Jose, CA 95117",2180,2,2,847.5,San Jose,95117,1,11,10
171,"1158 Illiad Ct,San Jose, CA 95118",3695,3,2.5,1348.0,San Jose,95118,0,1,0
172,"Tanglewood970 Meridian Ave,San Jose, CA 95126",2395,2,2,802.5,San Jose,95126,1,14,14
173,"Furnished Studio - San Jose - Edenvale - North6199 San Ignacio Ave,San Jose, CA 95119",2572,0,1,300.0,San Jose,95119,0,17,14
174,"Sycamore Park398 Boynton Ave,San Jose, CA 95117",1825,1,1,565.0,San Jose,95117,1,11,8
175,"Rosewalk3601 Copperfield Dr,San Jose, CA 95136",2570,2,2,940.5,San Jose,95136,2,12,15
176,"3245 Riddle Rd,San Jose, CA 95117",3650,3,2,2144.0,San Jose,95117,0,4,0
177,"Koi Creek1150 Pedro St,San Jose, CA 95126",1900,1,1,490.0,San Jose,95126,1,13,10
178,"Moorpark Garden Apartments2966 Moorpark Ave,San Jose, CA 95128",2195,2,1.5,856.0,San Jose,95128,1,16,7
179,"Furnished Studio - San Jose - Edenvale - South6189 San Ignacio Ave,San Jose, CA 95119",2872,0,1,300.0,San Jose,95119,0,11,13
180,"2643 S Bascom Ave,Campbell, CA 95008",2095,1,1,600.0,San Jose,95008,0,1,1
181,"Atrium Garden Studios1536 Kerley Dr,San Jose, CA 95112",1475,0,1,355.0,San Jose,95112,2,2,5
182,"470 Apartments470 S 11th St,San Jose, CA 95112",2495,3,2,904.5,San Jose,95112,1,7,8
183,"3983 Chamberer Dr,San Jose, CA 95135",2095,1,1,700.0,San Jose,95135,0,2,0
184,"51 Glen Eyrie Ave,San Jose, CA 95125",2050,1,1,550.0,San Jose,95125,0,1,1
185,"1955 Postgate Ct,San Jose, CA 95121",3500,4,2,1320.0,San Jose,95121,0,3,1
186,"1204 Redcliff Dr,San Jose, CA 95118",4500,3,3,1786.0,San Jose,95118,0,3,0
187,"396 Sunpark Pl,San Jose, CA 95136",3600,3,2,1415.0,San Jose,95136,0,4,1
188,"4122 Horizon Ln,San Jose, CA 95148",4390,4,3,2436.0,San Jose,95148,0,2,0
189,"3044 Shadow Springs Pl,San Jose, CA 95121",2795,2,1,866.0,San Jose,95121,0,2,1
190,"1027 Nightfall Ct,San Jose, CA 95120",4590,4,2,2167.0,San Jose,95120,0,3,2
191,"590 Almaden Walk Loop,San Jose, CA 95125",3500,3,3,1425.0,San Jose,95125,0,4,1
192,"1511 Primm Ave,San Jose, CA 95122",4100,4,3,1236.0,San Jose,95122,0,2,1
193,"3965 Bismarck Dr,San Jose, CA 95130",3200,3,1,1100.0,San Jose,95130,0,0,1
